No.	Time	Source		Destination	Protocol Length	Info
1815	21.989	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1817	21.997	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1819	22.011	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1821	22.018	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1823	22.020	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1825	22.029	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1827	22.040	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1829	22.047	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1831	22.050	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1833	22.057	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1835	22.070	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1837	22.077	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1839	22.080	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1841	22.087	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1843	22.090	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1845	22.097	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1847	22.110	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1849	22.117	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1851	22.120	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1853	22.129	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1855	22.140	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1857	22.147	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1859	22.150	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1861	22.159	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1863	22.170	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1865	22.178	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1867	22.180	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1869	22.187	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1871	22.200	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1873	22.207	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1875	22.209	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1877	22.224	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1879	22.230	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1881	22.237	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1883	22.239	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1885	22.249	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1887	22.251	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1889	22.259	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1891	22.270	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1893	22.277	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1895	22.280	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1897	22.287	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1899	22.300	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1901	22.307	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1903	22.310	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1905	22.317	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1907	22.330	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1909	22.338	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1911	22.339	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1913	22.348	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1915	22.360	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1917	22.369	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1919	22.371	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1921	22.377	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1923	22.390	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1925	22.397	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1927	22.400	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1929	22.407	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1931	22.409	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1933	22.417	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1935	22.430	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1937	22.437	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1939	22.439	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1941	22.447	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1943	22.460	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1945	22.467	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1947	22.470	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1949	22.477	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1951	22.491	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1953	22.498	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1955	22.499	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1957	22.507	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1959	22.520	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1961	22.527	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1963	22.530	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1965	22.539	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1967	22.540	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1969	22.557	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1971	22.561	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1973	22.569	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1975	22.578	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1977	22.582	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1979	22.590	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1981	22.600	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1982	22.601	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1985	22.611	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1987	22.620	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1989	22.627	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1991	22.630	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1993	22.637	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1995	22.650	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
1997	22.657	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
1999	22.660	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2001	22.667	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2003	22.680	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2005	22.689	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2007	22.691	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2009	22.697	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2011	22.699	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2013	22.707	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2015	22.720	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2017	22.727	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2019	22.730	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2021	22.737	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2023	22.750	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2025	22.758	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2027	22.759	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2029	22.767	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2031	22.781	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2033	22.788	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2035	22.789	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2037	22.797	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2039	22.810	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2041	22.817	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2043	22.819	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2045	22.827	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2047	22.840	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2049	22.847	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2051	22.849	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2053	22.857	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2055	22.859	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2057	22.867	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2059	22.880	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2061	22.887	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2063	22.889	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2065	22.897	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2067	22.911	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2069	22.918	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2071	22.920	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2073	22.927	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2075	22.940	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2077	22.947	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2079	22.950	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2081	22.962	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2083	22.970	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2085	22.978	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2087	22.980	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2089	22.988	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2091	22.990	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2093	22.997	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2095	23.010	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2097	23.017	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2099	23.020	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2101	23.027	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2103	23.040	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2105	23.047	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2107	23.050	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2109	23.057	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2111	23.070	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2113	23.079	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2115	23.081	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2117	23.092	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2119	23.100	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2121	23.107	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2123	23.110	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2125	23.117	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2127	23.130	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2129	23.138	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2131	23.140	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2133	23.147	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2135	23.149	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2137	23.157	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2139	23.170	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2141	23.177	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2143	23.179	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2145	23.187	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2147	23.200	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2149	23.209	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2151	23.210	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2153	23.217	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2155	23.230	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2157	23.239	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2159	23.239	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2161	23.247	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2163	23.260	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2165	23.267	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2167	23.269	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2169	23.277	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2171	23.290	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2173	23.298	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2175	23.299	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2177	23.306	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2179	23.309	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2181	23.319	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2183	23.330	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2185	23.339	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2187	23.339	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2189	23.347	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2191	23.360	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2193	23.367	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2195	23.370	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2197	23.377	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2199	23.390	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2201	23.397	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2203	23.399	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2205	23.407	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2207	23.420	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2209	23.427	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2211	23.429	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2213	23.437	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2215	23.440	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2217	23.447	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2219	23.461	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2221	23.468	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2223	23.469	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2225	23.477	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2227	23.490	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2229	23.498	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2231	23.500	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2233	23.507	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2235	23.520	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2237	23.527	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2239	23.530	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2241	23.537	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2243	23.551	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2245	23.558	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2247	23.561	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2249	23.568	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2251	23.580	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2253	23.587	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2255	23.589	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2257	23.597	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2259	23.599	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2261	23.620	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2262	23.621	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2265	23.629	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2267	23.629	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2269	23.642	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2271	23.650	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2273	23.660	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2275	23.661	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2277	23.671	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2279	23.680	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2281	23.687	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2283	23.690	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2285	23.701	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2287	23.710	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2289	23.717	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2291	23.719	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2293	23.727	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2295	23.729	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2297	23.737	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2299	23.750	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2301	23.757	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2303	23.759	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2305	23.767	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2307	23.780	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2309	23.787	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2311	23.789	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2313	23.797	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2315	23.810	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2317	23.818	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2319	23.819	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2321	23.827	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2323	23.840	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2325	23.848	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2327	23.849	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2329	23.858	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2331	23.870	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2333	23.877	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2335	23.880	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2337	23.887	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2339	23.889	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2341	23.897	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2343	23.910	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2345	23.917	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2347	23.920	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2349	23.927	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2351	23.940	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2353	23.947	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2355	23.949	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2357	23.957	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2359	23.970	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2361	23.977	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2363	23.980	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2365	23.987	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2367	24.000	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2369	24.007	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2371	24.010	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2373	24.019	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2375	24.030	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2377	24.038	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2379	24.039	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2381	24.048	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2383	24.049	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2385	24.061	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2387	24.070	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2389	24.078	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2391	24.079	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2393	24.092	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2395	24.101	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2397	24.108	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2399	24.110	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2401	24.117	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2403	24.130	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2405	24.139	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2407	24.139	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2409	24.147	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2411	24.160	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2413	24.167	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2415	24.169	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2417	24.177	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2419	24.180	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2421	24.191	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2423	24.200	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2425	24.207	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2427	24.210	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2429	24.217	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2431	24.230	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2433	24.237	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2435	24.240	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2437	24.247	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2439	24.260	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2441	24.267	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2443	24.270	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2445	24.277	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2447	24.290	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2449	24.297	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2451	24.299	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2453	24.307	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2455	24.320	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2457	24.328	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2459	24.330	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2461	24.339	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2463	24.347	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2465	24.351	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2467	24.360	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2469	24.367	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2471	24.369	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2473	24.377	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2475	24.389	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2477	24.397	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2479	24.400	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2481	24.407	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2483	24.420	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2485	24.427	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2487	24.429	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2489	24.437	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2491	24.450	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2493	24.457	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2495	24.460	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2497	24.477	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2499	24.480	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2501	24.490	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2503	24.494	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2505	24.499	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2507	24.500	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2509	24.517	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2511	24.520	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2513	24.529	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2515	24.534	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2517	24.539	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2519	24.550	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2521	24.559	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2523	24.560	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2525	24.571	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2527	24.581	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2529	24.588	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2531	24.589	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2533	24.597	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2535	24.611	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2537	24.618	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2539	24.619	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2541	24.626	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2543	24.630	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2545	24.637	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2547	24.650	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2549	24.658	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2551	24.659	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2553	24.667	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
2555	24.680	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
2557	24.687	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
