No.	Time	Source		Destination	Protocol Length	Info
211	16.170	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
213	16.183	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
215	16.190	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
217	16.197	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
219	16.199	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
221	16.207	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
223	16.220	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
225	16.227	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
227	16.229	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
229	16.237	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
231	16.250	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
233	16.257	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
235	16.259	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
237	16.267	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
239	16.280	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
241	16.287	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
243	16.289	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
245	16.297	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
247	16.299	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
249	16.307	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
251	16.320	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
253	16.329	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
255	16.332	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
257	16.338	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
259	16.351	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
261	16.358	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
263	16.359	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
265	16.367	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
267	16.380	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
269	16.388	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
271	16.390	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
273	16.397	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
275	16.410	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
277	16.420	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
279	16.421	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
281	16.428	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
283	16.440	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
285	16.447	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
287	16.449	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
289	16.457	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
291	16.460	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
293	16.467	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
295	16.480	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
297	16.488	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
299	16.490	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
301	16.497	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
303	16.510	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
305	16.517	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
307	16.519	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
309	16.527	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
311	16.540	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
313	16.547	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
315	16.549	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
317	16.557	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
319	16.570	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
321	16.577	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
323	16.579	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
325	16.587	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
327	16.589	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
329	16.597	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
331	16.610	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
333	16.617	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
335	16.619	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
337	16.633	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
